Index,Dice
4020,0.653070751516636
8040,0.6732643255317259
12060,0.6779222277396107
16080,0.6846019103830355
20100,0.6900959252673585
24120,0.6957605327593717
28140,0.6982550778287296
32160,0.7027259968932386
36180,0.7146163651161346
40200,0.7228881254636552
44220,0.7240900619901042
48240,0.7258702676649786
52260,0.728101990277241
56280,0.7336305610007628
60300,0.7319795141843652
64320,0.7355378529192721
68340,0.7376885501664311
72360,0.7399348516891834
76380,0.7402724563357487
80400,0.7418392729017724
84420,0.7426355281860069
88440,0.7451050786779215
92460,0.7370460557658681
96480,0.7379382362137857
100500,0.7458621282575095
104520,0.7435651958181512
108540,0.7460537483940164
112560,0.7428373624418991
116580,0.7486567674112389
120600,0.7513397322316976
124620,0.7501152112208633
128640,0.7507646110035796
132660,0.7497544100544817
136680,0.7465741628519281
140700,0.7444086504007356
144720,0.748531682266772
148740,0.7523760026558622
152760,0.7482752437324559
156780,0.7510614020775921
160800,0.7464135111606289
164820,0.748990261598135
168840,0.7496358381414514
172860,0.7516043216465214
176880,0.750688135493716
180900,0.7462086786126219
184920,0.7524569871429698
188940,0.7536443927776297
192960,0.7515057203912072
196980,0.7552000608754021
201000,0.7511483777663156
205020,0.7531584617032953
209040,0.7502363679894206
213060,0.7554787176171968
217080,0.7514025397194612
221100,0.7492822428790344
225120,0.7458011078707787
229140,0.7529769693382569
233160,0.7509784717516191
237180,0.7519729440187471
241200,0.7498034591429825
245220,0.7509498140465976
249240,0.7571372209431293
253260,0.7529779781356809
257280,0.7495872207377587
261300,0.7517089977436576
265320,0.7517063811718269
269340,0.753836274926628
273360,0.7529747435585371
277380,0.7492540171850308
281400,0.7536776784915875
285420,0.7523556290823324
289440,0.7542109717066867
293460,0.7534889507396503
297480,0.7539963739985912
301500,0.7563920070468003
305520,0.755283818565574
309540,0.7499565174266629
313560,0.7536187149147842
317580,0.7495673069766619
321600,0.7505244245039886
325620,0.7502569984614521
329640,0.7542504913447257
333660,0.7540310827447978
337680,0.746053600943855
341700,0.7548554539990314
345720,0.7513435451307927
349740,0.7544575205847394
353760,0.7562744555898235
357780,0.7501227643410991
361800,0.7532109236178631
365820,0.7544172519588659
369840,0.7542060344945264
373860,0.7567784908219752
377880,0.7558179216055915
381900,0.7498343406186013
385920,0.7551855459118251
389940,0.7530263355788162
393960,0.7555784845913389
397980,0.7538761329213025
402000,0.7513168254394261
